store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;RFQ10502;2000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9569;1868;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11532;1850;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11525;1828;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11278;1806;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10781;1800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05369;1800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09401;1800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;1935;1780;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08087;1777;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11925;1754;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11433;1706;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11259;1700;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;80059;1642;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09203;1634;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42241082168;1600;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ082998;1600;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10276;1597;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12132;1597;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04868;1565;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;8674;1551;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10613;1548;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;5979;1529;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;99609PM;1525;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;99616PM;1515;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;6915;1507;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;7732;1500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10498;1500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10506;1500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10507;1500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09787;1497;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10405;1444;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;77556;1441;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10368;1427;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;99608PM;1410;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C2643;1400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12178;1397;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09110;1380;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10377;1380;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10606;1378;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10720;1371;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;80005;1362;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12174;1360;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12170;1353;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12172;1350;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2410;1340;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;7304;1300;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11271;1300;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C1745B;1299;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10522;1260;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11136;1245;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10396;1200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11096;1200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11627;1200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10410;1200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
